Employee_ID,Age,Gender,Job_Role,Industry,Work_Location,AI_Tools_Used,Weekly_Work_Hours,Productivity_Score,Wellbeing_Score,Commute_Time_Min
EMP001,28,Female,Data Analyst,Tech,Remote,ChatGPT;Copilot,40,8.5,9.0,0
EMP002,35,Male,Software Engineer,Finance,Hybrid,Cursor;DeepSeek,45,9.2,7.5,30
EMP003,42,Non-binary,HR Manager,Healthcare,On-site,None,38,6.0,5.5,60
EMP004,24,Male,Marketing Spec,Retail,Remote,Midjourney;Jasper,35,8.0,8.5,0
EMP005,31,Female,Project Manager,Tech,Hybrid,Notion AI,42,7.5,6.0,45
EMP006,29,Male,Sales Rep,Real Estate,On-site,None,50,5.5,4.0,90
EMP007,45,Female,Accountant,Finance,Remote,Excel AI,40,9.0,8.0,0
EMP008,38,Male,Software Engineer,Tech,Remote,GitHub Copilot,35,9.5,9.5,0
EMP009,22,Female,Content Writer,Media,Remote,ChatGPT;Grammarly,30,8.8,9.2,0
EMP010,50,Male,Director,Manufacturing,On-site,None,55,7.0,5.0,40
EMP011,27,Female,UX Designer,Tech,Hybrid,Figma AI,40,8.2,7.0,25
EMP012,33,Male,Data Scientist,Education,Remote,Claude;Colab,38,9.0,8.5,0
EMP013,40,Female,Teacher,Education,On-site,None,45,6.5,4.5,30
EMP014,26,Male,Video Editor,Media,Remote,Runway Gen-2,40,8.7,8.0,0
EMP015,36,Female,Analyst,Finance,Hybrid,Bloomberg GPT,44,7.8,6.5,50
EMP016,29,Male,Support Agent,Retail,Remote,Zendesk AI,40,8.5,8.2,0
EMP017,44,Non-binary,Product Lead,Tech,Hybrid,Jira AI,45,8.0,6.0,35
EMP018,31,Male,Engineer,Construction,On-site,None,50,5.0,4.5,70
EMP019,25,Female,Social Media,Fashion,Remote,Canva AI,35,9.0,9.0,0
EMP020,39,Male,Manager,Logistics,On-site,None,48,6.0,5.5,45
EMP021,28,Female,Web Dev,Tech,Remote,Copilot,40,9.1,8.8,0
EMP022,34,Male,Consultant,Business,Hybrid,ChatGPT,50,7.5,5.5,60
